village_id,mgnregs_days_per_hh
VIL000000,41.4
VIL000001,9.4
VIL000002,79.4
VIL000003,31.8
VIL000004,7.1
VIL000005,10.7
VIL000006,49.6
VIL000007,45.9
VIL000008,50.4
VIL000009,32.3
VIL000010,16.2
VIL000011,45.5
VIL000012,39.7
VIL000013,19.8
VIL000014,21.4
VIL000015,29.5
VIL000016,36.1
VIL000017,100.0
VIL000018,82.1
VIL000019,28.5
VIL000020,77.7
VIL000021,36.2
VIL000022,46.2
VIL000023,30.7
VIL000024,100.0
VIL000025,95.9
VIL000026,29.5
VIL000027,59.2
VIL000028,62.1
VIL000029,60.5
VIL000030,67.4
VIL000031,41.5
VIL000032,14.9
VIL000033,33.0
VIL000034,42.0
VIL000035,80.1
VIL000036,26.7
VIL000037,54.4
VIL000038,58.7
VIL000039,80.0
VIL000040,33.3
VIL000041,64.9
VIL000042,45.8
VIL000043,3.9
VIL000044,32.3
VIL000045,64.8
VIL000046,3.7
VIL000047,90.5
VIL000048,99.3
VIL000049,21.8
VIL000050,16.5
VIL000051,70.4
VIL000052,51.0
VIL000053,17.9
VIL000054,43.5
VIL000055,37.1
VIL000056,0.0
VIL000057,40.6
VIL000058,21.5
VIL000059,28.5
VIL000060,56.0
VIL000061,28.3
VIL000062,80.0
VIL000063,13.2
VIL000064,0.0
VIL000065,74.0
VIL000066,50.0
VIL000067,72.7
VIL000068,20.5
VIL000069,6.8
VIL000070,48.6
VIL000071,7.4
VIL000072,51.1
VIL000073,58.4
VIL000074,46.4
VIL000075,55.5
VIL000076,87.1
VIL000077,16.3
VIL000078,34.1
VIL000079,23.3
VIL000080,25.7
VIL000081,46.9
VIL000082,31.9
VIL000083,50.2
VIL000084,17.3
VIL000085,33.6
VIL000086,82.0
VIL000087,78.4
VIL000088,4.9
VIL000089,58.1
VIL000090,19.6
VIL000091,0.0
VIL000092,51.6
VIL000093,84.6
VIL000094,87.3
VIL000095,46.6
VIL000096,100.0
VIL000097,37.7
VIL000098,32.4
VIL000099,31.7
VIL000100,12.3
VIL000101,71.3
VIL000102,26.5
VIL000103,46.6
VIL000104,15.9
VIL000105,46.6
VIL000106,28.9
VIL000107,80.4
VIL000108,0.0
VIL000109,29.9
VIL000110,59.6
VIL000111,48.6
VIL000112,77.1
VIL000113,55.1
VIL000114,94.1
VIL000115,37.0
VIL000116,48.7
VIL000117,43.9
VIL000118,50.1
VIL000119,68.4
VIL000120,63.8
VIL000121,23.5
VIL000122,45.6
VIL000123,47.7
VIL000124,26.9
VIL000125,17.6
VIL000126,84.2
VIL000127,22.5
VIL000128,14.6
VIL000129,63.0
VIL000130,41.4
VIL000131,13.9
VIL000132,23.2
VIL000133,37.9
VIL000134,79.2
VIL000135,9.4
VIL000136,54.9
VIL000137,48.2
VIL000138,48.4
VIL000139,8.7
VIL000140,28.9
