village_id,ndvi_2019,ndvi_2024,ndvi_delta,ndvi_delta_abs
VIL000000,0.3367,0.2412,-0.0955,0.0955
VIL000001,0.4475,0.5621,0.1146,0.1146
VIL000002,0.426,0.5025,0.0764,0.0764
VIL000003,0.3432,0.3749,0.0317,0.0317
VIL000004,0.6787,0.7563,0.0776,0.0776
VIL000005,0.3018,0.476,0.1742,0.1742
VIL000006,0.2108,0.3497,0.1389,0.1389
VIL000007,0.7243,0.7472,0.0229,0.0229
VIL000008,0.5742,0.7583,0.1841,0.1841
VIL000009,0.4676,0.3774,-0.0902,0.0902
VIL000010,0.7308,0.8343,0.1035,0.1035
VIL000011,0.4164,0.4157,-0.0006,0.0006
VIL000012,0.2438,0.0637,-0.18,0.18
VIL000013,0.3933,0.4824,0.0891,0.0891
VIL000014,0.29,0.3375,0.0475,0.0475
VIL000015,0.7407,0.8502,0.1095,0.1095
VIL000016,0.6843,0.6294,-0.055,0.055
VIL000017,0.4717,0.5866,0.1148,0.1148
VIL000018,0.4205,0.4863,0.0658,0.0658
VIL000019,0.4482,0.5649,0.1167,0.1167
VIL000020,0.5965,0.7909,0.1945,0.1945
VIL000021,0.3363,0.4109,0.0746,0.0746
VIL000022,0.5425,0.6099,0.0674,0.0674
VIL000023,0.2783,0.2392,-0.0392,0.0392
VIL000024,0.3106,0.2434,-0.0672,0.0672
VIL000025,0.2447,0.2526,0.0079,0.0079
VIL000026,0.7244,0.7273,0.0029,0.0029
VIL000027,0.2307,0.2074,-0.0232,0.0232
VIL000028,0.5297,0.5477,0.018,0.018
VIL000029,0.5976,0.5596,-0.038,0.038
VIL000030,0.7337,0.8943,0.1606,0.1606
VIL000031,0.6519,0.7262,0.0744,0.0744
VIL000032,0.4902,0.5055,0.0153,0.0153
VIL000033,0.3823,0.3687,-0.0136,0.0136
VIL000034,0.3947,0.4532,0.0585,0.0585
VIL000035,0.2435,0.2313,-0.0122,0.0122
VIL000036,0.5058,0.5491,0.0433,0.0433
VIL000037,0.2912,0.399,0.1078,0.1078
VIL000038,0.3624,0.5481,0.1857,0.1857
VIL000039,0.6623,0.6805,0.0181,0.0181
VIL000040,0.3994,0.2279,-0.1715,0.1715
VIL000041,0.3874,0.4981,0.1107,0.1107
VIL000042,0.5907,0.6569,0.0662,0.0662
VIL000043,0.2174,0.2705,0.0531,0.0531
VIL000044,0.4598,0.5329,0.0731,0.0731
VIL000045,0.6024,0.4851,-0.1172,0.1172
VIL000046,0.6253,0.4228,-0.2025,0.2025
VIL000047,0.3327,0.3991,0.0664,0.0664
VIL000048,0.3684,0.3846,0.0162,0.0162
VIL000049,0.2752,0.3645,0.0894,0.0894
VIL000050,0.5277,0.5359,0.0082,0.0082
VIL000051,0.2894,0.2093,-0.0801,0.0801
VIL000052,0.6413,0.6765,0.0352,0.0352
VIL000053,0.4751,0.4441,-0.031,0.031
VIL000054,0.2327,0.1018,-0.1309,0.1309
VIL000055,0.4155,0.4666,0.0511,0.0511
VIL000056,0.5409,0.565,0.0241,0.0241
VIL000057,0.3035,0.3077,0.0042,0.0042
VIL000058,0.4353,0.3586,-0.0767,0.0767
VIL000059,0.2489,0.3576,0.1087,0.1087
VIL000060,0.6029,0.5627,-0.0402,0.0402
VIL000061,0.4163,0.4325,0.0162,0.0162
VIL000062,0.3893,0.468,0.0788,0.0788
VIL000063,0.4183,0.3968,-0.0215,0.0215
VIL000064,0.2096,0.3035,0.0939,0.0939
VIL000065,0.4576,0.4503,-0.0073,0.0073
VIL000066,0.6913,0.7319,0.0406,0.0406
VIL000067,0.2889,0.25,-0.0389,0.0389
VIL000068,0.6645,0.6822,0.0178,0.0178
VIL000069,0.3513,0.4404,0.0891,0.0891
VIL000070,0.6228,0.5209,-0.102,0.102
VIL000071,0.6587,0.5705,-0.0882,0.0882
VIL000072,0.6957,0.6939,-0.0018,0.0018
VIL000073,0.7345,0.7626,0.0281,0.0281
VIL000074,0.436,0.4321,-0.0038,0.0038
VIL000075,0.5773,0.5975,0.0201,0.0201
VIL000076,0.3795,0.4561,0.0767,0.0767
VIL000077,0.6386,0.5652,-0.0735,0.0735
VIL000078,0.439,0.5552,0.1162,0.1162
VIL000079,0.4806,0.5152,0.0346,0.0346
VIL000080,0.6198,0.6286,0.0088,0.0088
VIL000081,0.2957,0.3519,0.0562,0.0562
VIL000082,0.4488,0.4882,0.0394,0.0394
VIL000083,0.694,0.6656,-0.0284,0.0284
VIL000084,0.5791,0.5957,0.0166,0.0166
VIL000085,0.3573,0.4433,0.086,0.086
VIL000086,0.4315,0.4875,0.056,0.056
VIL000087,0.5124,0.5849,0.0726,0.0726
VIL000088,0.7322,0.7773,0.0451,0.0451
VIL000089,0.5084,0.6179,0.1095,0.1095
VIL000090,0.7351,0.6947,-0.0403,0.0403
VIL000091,0.294,0.2688,-0.0253,0.0253
VIL000092,0.3297,0.3007,-0.029,0.029
VIL000093,0.5115,0.4821,-0.0294,0.0294
VIL000094,0.5593,0.5931,0.0338,0.0338
VIL000095,0.7301,0.8372,0.1071,0.1071
VIL000096,0.687,0.5113,-0.1757,0.1757
VIL000097,0.4025,0.398,-0.0045,0.0045
VIL000098,0.388,0.3715,-0.0165,0.0165
VIL000099,0.6679,0.6559,-0.0119,0.0119
VIL000100,0.4138,0.4277,0.0139,0.0139
VIL000101,0.5665,0.5999,0.0334,0.0334
VIL000102,0.444,0.3376,-0.1064,0.1064
VIL000103,0.5349,0.6273,0.0924,0.0924
VIL000104,0.6314,0.648,0.0166,0.0166
VIL000105,0.7324,0.8471,0.1147,0.1147
VIL000106,0.4053,0.4101,0.0048,0.0048
VIL000107,0.57,0.5642,-0.0058,0.0058
VIL000108,0.6442,0.5687,-0.0756,0.0756
VIL000109,0.5836,0.564,-0.0196,0.0196
VIL000110,0.6434,0.7634,0.12,0.12
VIL000111,0.3469,0.3029,-0.044,0.044
VIL000112,0.3752,0.3717,-0.0035,0.0035
VIL000113,0.288,0.3969,0.1089,0.1089
VIL000114,0.6488,0.6654,0.0166,0.0166
VIL000115,0.68,0.7136,0.0335,0.0335
VIL000116,0.6543,0.8782,0.224,0.224
VIL000117,0.6154,0.6884,0.0731,0.0731
VIL000118,0.4844,0.4741,-0.0103,0.0103
VIL000119,0.504,0.3954,-0.1085,0.1085
VIL000120,0.507,0.5621,0.0551,0.0551
VIL000121,0.7465,0.7399,-0.0066,0.0066
VIL000122,0.7426,0.7707,0.0281,0.0281
VIL000123,0.4806,0.2929,-0.1877,0.1877
VIL000124,0.6156,0.5784,-0.0372,0.0372
VIL000125,0.7151,0.8028,0.0877,0.0877
VIL000126,0.5861,0.5253,-0.0608,0.0608
VIL000127,0.4378,0.4172,-0.0206,0.0206
VIL000128,0.2671,0.3715,0.1043,0.1043
VIL000129,0.5467,0.685,0.1384,0.1384
VIL000130,0.6221,0.6442,0.0222,0.0222
VIL000131,0.3449,0.3659,0.0211,0.0211
VIL000132,0.2678,0.2892,0.0214,0.0214
VIL000133,0.5975,0.6753,0.0778,0.0778
VIL000134,0.3482,0.3774,0.0293,0.0293
VIL000135,0.3455,0.4208,0.0753,0.0753
VIL000136,0.3107,0.3375,0.0268,0.0268
VIL000137,0.6719,0.7213,0.0494,0.0494
VIL000138,0.5095,0.4956,-0.0139,0.0139
VIL000139,0.3479,0.3528,0.0049,0.0049
VIL000140,0.4627,0.6778,0.2151,0.2151
VIL000141,0.4322,0.412,-0.0202,0.0202
VIL000142,0.5344,0.5764,0.042,0.042
VIL000143,0.5953,0.7333,0.138,0.138
VIL000144,0.4541,0.5444,0.0903,0.0903
VIL000145,0.4127,0.4135,0.0008,0.0008
VIL000146,0.2296,0.4245,0.1949,0.1949
VIL000147,0.2211,0.1865,-0.0345,0.0345
VIL000148,0.3021,0.2647,-0.0374,0.0374
VIL000149,0.2162,0.3132,0.097,0.097
VIL000150,0.5979,0.5989,0.001,0.001
VIL000151,0.3479,0.3722,0.0243,0.0243
VIL000152,0.6808,0.7783,0.0974,0.0974
VIL000153,0.2731,0.262,-0.0111,0.0111
VIL000154,0.6416,0.5753,-0.0663,0.0663
VIL000155,0.5142,0.5722,0.0581,0.0581
VIL000156,0.6228,0.6,-0.0228,0.0228
VIL000157,0.6438,0.7191,0.0753,0.0753
VIL000158,0.3931,0.337,-0.056,0.056
VIL000159,0.3073,0.4125,0.1052,0.1052
VIL000160,0.335,0.3065,-0.0285,0.0285
VIL000161,0.4233,0.4866,0.0632,0.0632
VIL000162,0.6565,0.5492,-0.1073,0.1073
VIL000163,0.7152,0.7333,0.018,0.018
VIL000164,0.5184,0.4937,-0.0247,0.0247
