village_id,pmay_beneficiaries_per_1000hh
VIL000000,178.1
VIL000001,68.3
VIL000002,17.4
VIL000003,56.5
VIL000004,235.8
VIL000005,149.0
VIL000006,197.8
VIL000007,212.0
VIL000008,81.2
VIL000009,125.2
VIL000010,90.9
VIL000011,10.6
VIL000012,61.5
VIL000013,228.0
VIL000014,147.7
VIL000015,176.5
VIL000016,91.7
VIL000017,138.9
VIL000018,95.9
VIL000019,4.0
VIL000020,23.5
VIL000021,143.9
VIL000022,68.3
VIL000023,211.3
VIL000024,108.8
VIL000025,99.5
VIL000026,179.2
VIL000027,239.1
VIL000028,47.6
VIL000029,216.7
VIL000030,41.4
VIL000031,109.2
VIL000032,181.0
VIL000033,119.1
VIL000034,123.1
VIL000035,228.8
VIL000036,105.0
VIL000037,106.1
VIL000038,63.7
VIL000039,142.8
VIL000040,132.5
VIL000041,172.0
VIL000042,245.5
VIL000043,60.2
VIL000044,212.6
VIL000045,88.8
VIL000046,77.5
VIL000047,126.8
VIL000048,225.4
VIL000049,51.7
VIL000050,20.5
VIL000051,192.8
VIL000052,102.7
VIL000053,79.2
VIL000054,37.0
VIL000055,50.9
VIL000056,258.8
VIL000057,206.3
VIL000058,106.5
VIL000059,53.4
VIL000060,178.1
VIL000061,9.5
VIL000062,60.6
VIL000063,140.3
VIL000064,0.0
VIL000065,108.3
VIL000066,164.5
VIL000067,212.6
VIL000068,241.3
VIL000069,68.8
VIL000070,175.0
VIL000071,84.1
VIL000072,215.6
VIL000073,100.9
VIL000074,32.3
VIL000075,84.1
VIL000076,67.4
VIL000077,113.7
VIL000078,165.0
VIL000079,183.9
VIL000080,257.9
VIL000081,87.8
VIL000082,69.7
VIL000083,227.7
VIL000084,115.4
VIL000085,60.3
VIL000086,86.1
VIL000087,94.4
VIL000088,53.4
VIL000089,108.2
VIL000090,255.7
VIL000091,0.0
VIL000092,58.8
VIL000093,84.0
VIL000094,229.2
VIL000095,42.8
VIL000096,83.5
VIL000097,133.7
VIL000098,167.2
VIL000099,144.4
VIL000100,213.0
VIL000101,127.1
VIL000102,53.2
VIL000103,131.8
VIL000104,107.0
VIL000105,127.1
VIL000106,175.9
VIL000107,39.3
VIL000108,115.1
VIL000109,114.9
VIL000110,93.5
VIL000111,149.0
VIL000112,79.5
VIL000113,103.0
VIL000114,30.8
VIL000115,46.9
VIL000116,125.5
VIL000117,232.1
VIL000118,49.8
VIL000119,162.2
VIL000120,211.6
VIL000121,42.0
VIL000122,74.8
VIL000123,161.0
VIL000124,72.6
VIL000125,222.1
VIL000126,32.4
VIL000127,100.3
VIL000128,132.5
VIL000129,237.6
VIL000130,176.9
VIL000131,127.8
VIL000132,86.3
VIL000133,34.9
VIL000134,204.1
VIL000135,78.1
VIL000136,227.7
VIL000137,108.1
VIL000138,119.0
VIL000139,98.1
VIL000140,70.6
VIL000141,195.4
VIL000142,237.6
VIL000143,135.8
VIL000144,67.9
VIL000145,139.7
VIL000146,50.5
VIL000147,145.0
VIL000148,121.1
VIL000149,38.3
VIL000150,113.2
VIL000151,95.9
VIL000152,198.6
VIL000153,152.0
VIL000154,103.7
VIL000155,71.9
VIL000156,149.8
VIL000157,46.2
VIL000158,96.1
VIL000159,95.4
VIL000160,196.1
VIL000161,60.5
VIL000162,27.2
VIL000163,212.7
VIL000164,252.1
VIL000165,9.0
VIL000166,30.0
VIL000167,100.6
VIL000168,268.4
VIL000169,114.2
VIL000170,20.4
VIL000171,176.6
VIL000172,72.9
VIL000173,249.0
VIL000174,44.1
VIL000175,213.3
VIL000176,96.3
VIL000177,154.2
VIL000178,93.9
VIL000179,209.5
VIL000180,115.1
VIL000181,218.7
VIL000182,21.2
VIL000183,27.3
VIL000184,94.3
VIL000185,109.8
VIL000186,18.3
VIL000187,220.0
VIL000188,129.6
VIL000189,171.3
VIL000190,101.6
VIL000191,21.9
VIL000192,112.2
VIL000193,1.0
VIL000194,34.6
VIL000195,76.7
VIL000196,86.7
VIL000197,85.2
VIL000198,32.7
VIL000199,100.1
VIL000200,57.6
VIL000201,134.8
VIL000202,186.4
VIL000203,69.2
VIL000204,65.4
VIL000205,226.6
VIL000206,120.3
VIL000207,21.2
VIL000208,193.1
VIL000209,197.3
VIL000210,83.3
VIL000211,52.0
VIL000212,156.7
VIL000213,250.0
VIL000214,74.6
VIL000215,201.4
VIL000216,91.2
VIL000217,9.1
VIL000218,80.9
VIL000219,145.9
VIL000220,79.6
VIL000221,43.3
VIL000222,273.5
VIL000223,207.3
VIL000224,51.2
VIL000225,209.1
VIL000226,21.4
VIL000227,109.8
VIL000228,41.0
VIL000229,62.3
VIL000230,169.4
VIL000231,94.9
VIL000232,62.3
VIL000233,178.3
VIL000234,245.1
VIL000235,15.8
VIL000236,81.7
VIL000237,84.4
VIL000238,57.2
VIL000239,193.7
VIL000240,141.3
VIL000241,0.0
VIL000242,12.9
VIL000243,123.8
VIL000244,110.1
VIL000245,187.0
VIL000246,255.4
VIL000247,55.8
VIL000248,61.8
VIL000249,138.2
VIL000250,53.2
VIL000251,118.0
VIL000252,132.6
VIL000253,70.2
VIL000254,169.3
VIL000255,244.1
VIL000256,109.6
VIL000257,50.1
VIL000258,72.2
VIL000259,101.1
VIL000260,50.0
VIL000261,127.2
VIL000262,144.9
VIL000263,260.5
VIL000264,31.5
VIL000265,36.1
VIL000266,119.8
VIL000267,24.2
VIL000268,153.7
VIL000269,26.4
VIL000270,283.4
VIL000271,11.0
VIL000272,202.6
VIL000273,59.6
VIL000274,241.8
VIL000275,148.9
VIL000276,151.5
VIL000277,21.4
VIL000278,83.8
VIL000279,240.0
VIL000280,115.3
VIL000281,94.4
VIL000282,146.8
VIL000283,166.0
VIL000284,52.7
VIL000285,136.7
VIL000286,63.7
VIL000287,128.6
VIL000288,18.7
VIL000289,76.6
VIL000290,102.1
VIL000291,137.5
VIL000292,72.4
VIL000293,136.2
VIL000294,105.4
VIL000295,225.6
VIL000296,102.0
VIL000297,149.4
VIL000298,92.5
VIL000299,118.2
VIL000300,210.1
VIL000301,218.5
VIL000302,190.0
VIL000303,70.2
VIL000304,33.3
VIL000305,60.1
VIL000306,120.3
VIL000307,103.8
VIL000308,74.5
VIL000309,114.6
VIL000310,131.7
VIL000311,189.8
VIL000312,189.4
VIL000313,90.7
VIL000314,40.9
VIL000315,12.3
VIL000316,114.3
VIL000317,241.7
VIL000318,239.6
VIL000319,261.2
VIL000320,101.2
VIL000321,93.1
VIL000322,100.3
VIL000323,40.2
VIL000324,102.2
VIL000325,71.8
VIL000326,177.0
VIL000327,121.8
VIL000328,115.6
VIL000329,169.2
VIL000330,238.1
VIL000331,34.5
VIL000332,56.1
VIL000333,98.7
VIL000334,119.5
VIL000335,161.1
VIL000336,131.8
VIL000337,34.6
VIL000338,125.9
VIL000339,144.3
VIL000340,68.7
VIL000341,130.7
VIL000342,259.1
VIL000343,201.3
VIL000344,102.3
VIL000345,43.5
VIL000346,0.0
VIL000347,132.3
VIL000348,255.9
VIL000349,41.4
VIL000350,78.5
VIL000351,234.9
VIL000352,26.9
VIL000353,93.1
VIL000354,162.9
VIL000355,17.5
VIL000356,228.7
VIL000357,98.1
VIL000358,221.3
VIL000359,95.2
